file,relative_parent,modulation,symbol_rate_gbaud,if_ghz,rx_fs_gsa,blocks,stored_evm_db,zc_pilot_evm_db,full_tx_loocv_evm_db,full_tx_improvement_db
Data_fIF11_fsym2_P-8_fRF280_DFT-s-OFDM_16QAM_Iph7.npz,bandwidth,16QAM,2.0,11.0,255.99999999999997,5.0,-25.219,-3.0244310939299535,-24.76306689013153,21.738635796201574
Data_fIF12_fsym2_P-7_fRF280_DFT-s-OFDM_Iph7.4.npz,captures,16QAM,2.0,12.0,63.99999999999999,8.0,-25.431,-12.749515810960366,-24.982291547669607,12.232775736709243
Data_fIF11_fsym4_P-8_fRF280_DFT-s-OFDM_16QAM_Iph7.npz,bandwidth,16QAM,4.0,11.0,255.99999999999997,8.0,-23.223,-12.54904992742172,-22.810314677722758,10.261264750301036
Data_fIF12_fsym4_P-7_fRF280_DFT-s-OFDM_Iph7.4.npz,captures,16QAM,4.0,12.0,63.99999999999999,8.0,-22.492,-7.641435390722263,-21.780879166250344,14.139443775528077
Data_fIF12_fsym4_P-7_fRF280_DFT-s-OFDM_Iph7.6.npz,captures,16QAM,4.0,12.0,63.99999999999999,8.0,-22.009,-12.49388714176185,-21.606185374941198,9.112298233179347
Data_fIF12_fsym5_P-7_fRF280_DFT-s-OFDM_Iph7.4.npz,captures,16QAM,5.0,12.0,63.99999999999999,10.0,-22.495,-12.825280085473603,-22.08284463666046,9.257564551186858
Data_fIF12_fsym6_P-7_fRF280_DFT-s-OFDM_Iph7.4.npz,captures,16QAM,6.0,12.0,63.99999999999999,8.0,-21.915,-12.413873514579265,-21.324293074878895,8.910419560299628
Data_fIF11_fsym8_P-8_fRF280_DFT-s-OFDM_16QAM_Iph7.npz,bandwidth,16QAM,8.0,11.0,255.99999999999997,8.0,-20.685,-9.969401983712174,-20.822944570702838,10.853542586990665
Data_fIF12_fsym8_P-7_fRF280_DFT-s-OFDM_Iph7.4.npz,captures,16QAM,8.0,12.0,63.99999999999999,8.0,-19.984,-9.551566068954916,-19.615535538887805,10.06396946993289
Data_fIF12_fsym8_P-7_fRF280_DFT-s-OFDM_Iph7.6.npz,captures,16QAM,8.0,12.0,63.99999999999999,8.0,-20.199,-7.552081423797307,-19.814900150463064,12.262818726665758
